Whole Shape	Block Shape	threads	tiledcuda(ms)	cublass(ms)	Ratio
[4096, 4096, 4096]	[64, 64, 32]	64	5.6724	0.5535	10.249
[4096, 4096, 4096]	[64, 64, 64]	64	5.7056	0.5548	10.284
[4096, 4096, 4096]	[64, 64, 128]	64	5.7086	0.5614	10.169
[4096, 4096, 4096]	[64, 128, 32]	64	4.2649	0.5604	7.610
[4096, 4096, 4096]	[64, 128, 64]	64	4.1933	0.5499	7.626
[4096, 4096, 4096]	[64, 128, 128]	64	4.2102	0.5591	7.530
[4096, 4096, 4096]	[128, 64, 32]	64	5.6455	0.5611	10.061
[4096, 4096, 4096]	[128, 64, 64]	64	5.7679	0.5564	10.367
[4096, 4096, 4096]	[128, 64, 128]	64	5.6593	0.5505	10.281
[4096, 4096, 4096]	[128, 128, 32]	64	8.6471	0.5580	15.497
[4096, 4096, 4096]	[128, 128, 64]	64	8.6504	0.5524	15.658
[4096, 4096, 4096]	[128, 128, 128]	64	8.6373	0.5619	15.371
[4096, 4096, 4096]	[64, 64, 32]	128	7.2275	0.5576	12.962
[4096, 4096, 4096]	[64, 64, 64]	128	7.2775	0.5513	13.201
[4096, 4096, 4096]	[64, 64, 128]	128	7.2709	0.5605	12.972
[4096, 4096, 4096]	[64, 128, 32]	128	5.9478	0.5511	10.792
[4096, 4096, 4096]	[64, 128, 64]	128	6.0097	0.5542	10.843
[4096, 4096, 4096]	[64, 128, 128]	128	6.0131	0.5576	10.783
[4096, 4096, 4096]	[64, 256, 32]	128	5.8077	0.5510	10.540
[4096, 4096, 4096]	[64, 256, 64]	128	5.8655	0.5643	10.393
[4096, 4096, 4096]	[64, 256, 128]	128	5.8516	0.5555	10.533
[4096, 4096, 4096]	[128, 64, 32]	128	5.5293	0.5520	10.018
[4096, 4096, 4096]	[128, 64, 64]	128	5.5921	0.5549	10.078
[4096, 4096, 4096]	[128, 64, 128]	128	5.5740	0.5558	10.029
[4096, 4096, 4096]	[128, 128, 32]	128	4.3785	0.5610	7.805
[4096, 4096, 4096]	[128, 128, 64]	128	4.4436	0.5532	8.033
[4096, 4096, 4096]	[128, 128, 128]	128	4.4620	0.5607	7.958
[4096, 4096, 4096]	[128, 256, 32]	128	10.4251	0.5609	18.585
[4096, 4096, 4096]	[128, 256, 64]	128	10.4368	0.5581	18.701
[4096, 4096, 4096]	[128, 256, 128]	128	10.4267	0.5591	18.648
[4096, 4096, 4096]	[256, 64, 32]	128	5.6088	0.5533	10.136
[4096, 4096, 4096]	[256, 64, 64]	128	5.6756	0.5573	10.185
[4096, 4096, 4096]	[256, 64, 128]	128	5.6540	0.5635	10.033
[4096, 4096, 4096]	[256, 128, 32]	128	8.9575	0.5519	16.232
[4096, 4096, 4096]	[256, 128, 64]	128	8.9803	0.5525	16.253
[4096, 4096, 4096]	[256, 128, 128]	128	8.9900	0.5537	16.237
[4096, 4096, 4096]	[256, 256, 32]	128	21.7876	0.5529	39.405
[4096, 4096, 4096]	[256, 256, 64]	128	21.7950	0.5573	39.110
[4096, 4096, 4096]	[256, 256, 128]	128	21.7932	0.5660	38.502
[4096, 4096, 4096]	[64, 64, 32]	256	10.8300	0.5562	19.472
[4096, 4096, 4096]	[64, 64, 64]	256	10.8514	0.5538	19.596
[4096, 4096, 4096]	[64, 64, 128]	256	10.9378	0.5531	19.777
[4096, 4096, 4096]	[64, 128, 32]	256	7.3992	0.5543	13.350
[4096, 4096, 4096]	[64, 128, 64]	256	7.4433	0.5564	13.377
[4096, 4096, 4096]	[64, 128, 128]	256	7.4415	0.5606	13.274
[4096, 4096, 4096]	[64, 256, 32]	256	6.5054	0.5523	11.778
[4096, 4096, 4096]	[64, 256, 64]	256	6.5533	0.5574	11.758
[4096, 4096, 4096]	[64, 256, 128]	256	6.5576	0.5623	11.663
[4096, 4096, 4096]	[128, 64, 32]	256	9.1442	0.5623	16.263
[4096, 4096, 4096]	[128, 64, 64]	256	9.1732	0.5523	16.609
[4096, 4096, 4096]	[128, 64, 128]	256	9.1775	0.5588	16.424
[4096, 4096, 4096]	[128, 128, 32]	256	6.5040	0.5536	11.749
[4096, 4096, 4096]	[128, 128, 64]	256	6.5487	0.5622	11.649
[4096, 4096, 4096]	[128, 128, 128]	256	6.5418	0.5576	11.731
[4096, 4096, 4096]	[128, 256, 32]	256	4.8723	0.5526	8.818
[4096, 4096, 4096]	[128, 256, 64]	256	4.9280	0.5542	8.892
[4096, 4096, 4096]	[128, 256, 128]	256	4.9413	0.5620	8.792
[4096, 4096, 4096]	[256, 64, 32]	256	9.2602	0.5560	16.655
[4096, 4096, 4096]	[256, 64, 64]	256	9.2844	0.5601	16.576
[4096, 4096, 4096]	[256, 64, 128]	256	9.2867	0.5626	16.506
[4096, 4096, 4096]	[256, 128, 32]	256	6.1598	0.5524	11.150
[4096, 4096, 4096]	[256, 128, 64]	256	6.2144	0.5640	11.018
[4096, 4096, 4096]	[256, 128, 128]	256	6.2009	0.5569	11.135
[4096, 4096, 4096]	[256, 256, 32]	256	8.4366	0.5534	15.245
[4096, 4096, 4096]	[256, 256, 64]	256	8.4705	0.5600	15.126
[4096, 4096, 4096]	[256, 256, 128]	256	8.4543	0.5628	15.023
